Brands,Models,Colors,Camera,Rating,Selling Price,Original Price,Mobile,Discount,discount percentage,clean_memory,clean_storage
1,893,551,0,-0.21876055965606087,2.834622670873792,2.641315213417412,40,0,0.0,-0.14640839935545213,4.704174322073308
0,862,46,0,-0.21876055965606087,-0.3656671434833232,-0.40895649936081085,12,0,0.0,-0.14640839935545213,-0.26298477730998476
7,503,627,0,-0.21876055965606087,-0.5747123227669951,-0.6082023908425888,227,0,0.0,6.991812683288327,-0.9282292995488186
0,863,67,0,-0.21876055965606087,-0.33194473998539253,-0.3768148811188722,13,0,0.0,-0.16046001565986903,-0.6177818558373628
11,220,288,0,-0.21876055965606087,-0.26480343462101263,-0.11997120974754022,489,6000,25.01042100875365,-0.11830516674661835,0.4466093797447714
13,296,627,0,-0.21876055965606087,-0.3150835382364272,-0.31253164463499483,558,1500,8.333796322017891,-0.11830516674661835,0.4466093797447714
11,677,310,0,-0.21876055965606087,0.12297048320169177,0.05677554896488057,523,0,0.0,-0.09020193413778459,1.8657976938542835
1,911,635,0,3.316692356075757,0.5785601544587347,0.6485348824172136,58,4901,10.231732776617951,-0.16046001565986903,-0.26298477730998476
1,891,247,0,3.316692356075757,3.1718467058530986,2.9627313958367987,38,0,0.0,-0.11830516674661835,1.8657976938542835
13,445,87,0,-0.21876055965606087,1.4890987713063597,1.3588646455640583,707,0,0.0,-0.11830516674661835,-0.26298477730998476
